2025-01-17 16:04:57,777 Load: ./mats/VGON_nqd7_L3_20250117_122410.mat, 1000/1000
2025-01-17 16:04:57,777 PyTorch Device: cuda
2025-01-17 16:04:57,778 Number of layers: 3
2025-01-17 16:04:57,778 Number of qudits: 7
2025-01-17 16:04:57,778 Number of qubits: 14
2025-01-17 16:04:57,778 Coefficient phase: 0.49π
2025-01-17 16:04:58,141 Ground State Energy: 5.8611
2025-01-17 16:11:53,568 Energy: 5.89241341, 5.89216594, 5.89197462, Gap: 3.1094e-02, 512/512, 64/100, 415.22
2025-01-17 16:11:59,870 Energy: 5.89245752, 5.89212252, 5.89187555, Gap: 3.1050e-02, 520/520, 65/100, 421.52
2025-01-17 16:12:06,326 Energy: 5.89244405, 5.89207499, 5.89174383, Gap: 3.1003e-02, 528/528, 66/100, 427.98
2025-01-17 16:12:12,607 Energy: 5.89214279, 5.89206411, 5.89189042, Gap: 3.0992e-02, 536/536, 67/100, 434.26
2025-01-17 16:12:18,977 Energy: 5.89236725, 5.89215453, 5.89189632, Gap: 3.1082e-02, 544/544, 68/100, 440.63
2025-01-17 16:12:25,399 Energy: 5.89227214, 5.89207898, 5.89173582, Gap: 3.1007e-02, 552/552, 69/100, 447.05
2025-01-17 16:12:31,732 Energy: 5.89225491, 5.89207912, 5.89195023, Gap: 3.1007e-02, 560/560, 70/100, 453.38
2025-01-17 16:12:38,088 Energy: 5.89266970, 5.89215060, 5.89192335, Gap: 3.1078e-02, 568/568, 71/100, 459.74
2025-01-17 16:12:44,548 Energy: 5.89236478, 5.89211607, 5.89194110, Gap: 3.1044e-02, 576/576, 72/100, 466.20
2025-01-17 16:12:50,795 Energy: 5.89250353, 5.89209576, 5.89187324, Gap: 3.1024e-02, 584/584, 73/100, 472.45
2025-01-17 16:12:57,062 Energy: 5.89225225, 5.89209666, 5.89193386, Gap: 3.1024e-02, 592/592, 74/100, 478.71
2025-01-17 16:13:03,473 Energy: 5.89228452, 5.89216239, 5.89198743, Gap: 3.1090e-02, 600/600, 75/100, 485.12
